sessionid,subject,female,age,uk,other_europe,america,asia_russia,africa
160412_1143,1,0,20,1,0,0,0,0
160412_1143,2,1,18,0,0,0,1,0
160412_1143,3,0,20,1,0,0,0,0
160412_1143,4,1,20,0,0,0,0,1
160412_1143,5,0,19,1,0,0,0,0
160412_1143,6,0,23,0,1,0,0,0
160412_1143,7,0,31,0,0,0,0,1
160412_1143,8,0,20,1,0,0,0,0
160412_1143,9,0,18,1,1,0,0,0
160412_1143,10,1,22,0,0,0,0,1
160412_1143,11,1,22,0,0,0,1,0
160412_1143,12,1,26,0,1,0,0,0
160412_1143,13,1,22,1,0,0,0,0
160412_1143,14,0,27,0,0,1,0,0
160412_1143,15,1,19,1,0,0,0,0
160412_1143,16,0,26,0,1,0,0,0
160412_1143,17,1,19,0,0,1,0,0
160412_1143,18,1,19,1,0,0,0,0
160412_1143,19,1,19,1,0,0,0,0
160412_1143,20,0,19,1,0,0,0,0
160425_1139,21,0,34,0,0,0,0,1
160425_1139,22,0,18,1,0,0,0,0
160425_1139,23,0,25,0,0,0,0,1
160425_1139,24,1,19,1,0,0,0,0
160425_1139,25,0,22,1,0,0,0,0
160425_1139,26,1,22,0,0,1,0,0
160425_1139,27,1,26,0,1,0,0,0
160425_1139,28,0,21,0,1,0,0,0
160425_1139,29,0,23,1,0,0,0,0
160425_1139,30,1,19,1,0,0,0,0
160425_1139,31,0,19,1,0,0,0,0
160425_1139,32,0,31,0,0,0,1,0
160425_1139,33,0,21,1,0,0,0,0
160425_1139,34,0,36,0,0,0,0,1
160425_1139,35,0,19,1,0,0,0,0
160425_1139,36,1,21,1,0,0,0,0
160425_1139,37,1,37,0,0,1,0,0
160425_1139,38,1,19,1,0,0,0,0
160425_1139,39,1,24,0,0,0,1,0
160425_1139,40,0,19,1,0,0,0,0
160425_1354,41,0,24,0,0,0,0,1
160425_1354,42,0,20,1,0,0,0,0
160425_1354,43,1,19,1,0,0,0,0
160425_1354,44,0,19,1,0,0,0,0
160425_1354,45,0,20,1,0,0,0,0
160425_1354,46,0,20,0,0,0,0,1
160425_1354,47,0,20,1,0,0,0,0
160425_1354,48,1,19,1,0,0,0,0
160425_1354,49,0,22,1,0,0,0,0
160425_1354,50,1,19,1,0,0,0,0
160425_1354,51,0,20,1,0,0,0,0
160425_1354,52,1,21,1,0,0,0,0
160428_1441,53,0,19,1,0,0,0,0
160428_1441,54,0,19,0,0,1,0,0
160428_1441,55,1,18,0,1,0,0,0
160428_1441,56,0,20,1,0,0,0,0
160428_1441,57,1,18,1,0,0,0,0
160428_1441,58,1,20,0,1,0,0,0
160428_1441,59,1,23,0,1,0,0,0
160428_1441,60,0,19,1,0,0,0,0
160428_1441,61,1,19,1,0,0,0,0
160428_1441,62,1,19,1,0,0,0,0
160428_1441,63,0,19,1,0,0,0,0
160428_1441,64,1,20,1,0,0,0,0
160428_1441,65,1,20,0,1,0,0,0
160428_1441,66,1,19,1,0,0,0,0
160428_1441,67,0,20,1,0,0,0,0
160428_1441,68,0,18,1,0,0,0,0
160428_1441,69,0,20,1,0,0,0,0
160428_1441,70,1,19,1,0,0,0,0
160428_1441,71,1,22,1,0,0,0,0
160428_1441,72,0,22,1,0,0,0,0
160505_1026,73,0,19,1,0,0,0,0
160505_1026,74,1,20,1,0,0,0,0
160505_1026,75,1,19,1,0,0,0,0
160505_1026,76,0,23,1,0,0,0,0
160505_1026,77,0,20,1,0,0,0,0
160505_1026,78,0,19,1,0,0,0,0
160505_1026,79,1,19,0,1,0,0,0
160505_1026,80,1,20,0,1,0,0,0
160505_1026,81,0,19,1,0,0,0,0
160505_1026,82,1,19,1,0,0,0,0
160505_1026,83,1,19,0,1,0,0,0
160505_1026,84,0,20,1,0,0,0,0
160505_1026,85,1,19,1,0,0,0,0
160505_1026,86,1,18,1,0,0,0,0
160505_1026,87,1,20,1,0,0,0,0
160505_1026,88,0,20,1,0,0,0,0
160505_1253,89,0,19,0,1,0,0,0
160505_1253,90,0,20,1,0,0,0,0
160505_1253,91,1,20,0,1,0,0,0
160505_1253,92,1,23,1,0,0,0,0
160505_1253,93,1,21,1,0,0,0,0
160505_1253,94,0,19,1,0,0,0,0
160505_1253,95,0,18,0,0,0,0,1
160505_1253,96,1,21,1,0,0,0,0
160505_1253,97,0,19,0,1,0,0,0
160505_1253,98,0,19,1,0,0,0,0
160505_1253,99,1,22,1,0,0,0,0
160505_1253,100,1,18,1,0,0,0,0
160505_1253,101,1,21,1,0,0,0,0
160505_1253,102,1,19,0,0,1,0,0
160505_1253,103,1,24,0,0,0,1,0
160505_1253,104,1,19,0,1,0,0,0
160505_1253,105,1,20,1,0,0,0,0
160505_1253,106,1,19,1,0,0,0,0
160505_1253,107,0,18,0,1,0,0,0
160505_1253,108,1,24,1,0,0,0,0
160516_1039,109,1,23,1,0,0,0,0
160516_1039,110,1,19,0,0,1,0,0
160516_1039,111,0,20,1,0,0,0,0
160516_1039,112,0,19,1,0,0,0,0
160516_1039,113,1,19,1,0,0,0,0
160516_1039,114,1,20,1,0,0,0,0
160516_1039,115,0,21,1,0,0,0,0
160516_1039,116,0,21,1,0,0,0,0
160516_1039,117,1,22,1,0,0,0,0
160516_1039,118,1,21,1,0,0,0,0
160516_1039,119,1,19,1,0,0,0,0
160516_1039,120,0,24,0,0,0,1,0
160516_1039,121,0,22,1,0,0,0,0
160516_1039,122,1,19,1,0,0,0,0
160516_1039,123,0,28,1,0,0,0,0
160516_1039,124,1,27,0,1,0,0,0
160516_1039,125,1,18,1,0,0,0,0
160516_1039,126,1,21,1,0,0,0,0
160516_1039,127,0,19,1,0,0,0,0
160516_1039,128,1,19,0,1,0,0,0
160516_1238,129,1,19,1,0,0,0,0
160516_1238,130,0,21,1,0,0,0,0
160516_1238,131,1,21,1,0,0,0,0
160516_1238,132,1,21,1,0,0,0,0
160516_1238,133,1,19,1,0,0,0,0
160516_1238,134,1,18,1,0,0,0,0
160516_1238,135,1,21,1,0,0,0,0
160516_1238,136,1,20,1,0,0,0,0
160516_1238,137,1,19,1,0,0,0,0
160516_1238,138,1,21,0,1,0,0,0
160516_1238,139,1,19,1,0,0,0,0
160516_1238,140,0,18,1,0,0,0,0
160516_1238,141,1,20,1,0,0,0,0
160516_1238,142,0,19,1,0,0,0,0
160516_1238,143,1,21,1,0,0,0,0
160516_1238,144,0,19,1,0,0,0,0
160516_1238,145,1,23,1,0,0,0,0
160516_1238,146,1,20,0,1,0,0,0
160516_1238,147,1,20,1,0,0,0,0
160516_1238,148,1,21,0,1,0,0,0