year,Caribbean small states,Europe & Central Asia (excluding high income),Europe & Central Asia (IDA & IBRD countries),High income,North America,OECD members,Post-demographic dividend,South Asia,South Asia (IDA & IBRD),Albania,Australia,Austria,Azerbaijan,"Bahamas, The",Barbados,Belarus,Belgium,Belize,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Canada,Colombia,"Congo, Rep.",Croatia,"Egypt, Arab Rep.",El Salvador,Estonia,Ethiopia,France,Georgia,Greece,Guatemala,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Jamaica,Japan,Jordan,Kazakhstan,"Korea, Rep.",Kyrgyz Republic,Liberia,Lithuania,Malawi,Malaysia,Maldives,Marshall Islands,Mauritius,"Micronesia, Fed. Sts.",Moldova,Morocco,Mozambique,Namibia,Nepal,New Zealand,Palau,Papua New Guinea,Peru,Philippines,Romania,Russian Federation,San Marino,Seychelles,Singapore,Slovak Republic,Solomon Islands,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sweden,Switzerland,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Zambia
2005,,,,67.5146465752326,55.6412199783978,67.5529215105663,67.9424220961987,63.0968778504048,63.0968778504048,,22.4267214946317,74.30583792512,,,63.7916238643802,6.57022058767027,96.7545771933543,92.4327199355636,81.722619484527,,,,31.1379407029834,46.025212915552,,,54.0101157954423,,56.2158116750578,5.18104567730469,,65.6111738740193,29.2292335361289,127.548028051391,21.6021201382389,65.2124069018206,84.7176591672143,62.2265261005164,,,30.7738802977087,121.00247616654,128.210797955966,79.9519239759384,,,,,23.9357313179843,,42.0675597614326,33.9271150397616,,41.6926948302421,,32.4251035801551,59.2699927731566,,,51.7646230480547,44.1698490827743,,,,65.7097431233166,19.3532253673283,16.660868447567,39.3423254303621,,94.9666937754733,38.6138013357614,,40.2675102686621,90.6049131149854,92.3212291448103,52.0352250489237,54.2704254951004,57.8692190775771,29.2391927575427,25.4581282780769,,,52.4205297222421,,,,90.4467240521957,56.5388479068386,76.1144597080025,
2006,48.527819053048,,,65.8368279286005,54.4247735048957,66.0239536103426,66.3388155138054,60.5608957350155,60.5608957350155,,21.4639696485303,70.4226107810545,,22.7774542844919,62.3671751288723,6.64440183178372,89.3755663540236,88.1163765017636,76.8295072044597,,5.89360961421408,,27.7378918497081,43.2561303350185,,,50.9827661516037,,50.5122222715281,4.94438397132272,,60.9742926849592,23.090087672862,126.573058539632,22.2347729614565,68.3639272827735,86.9818396994222,59.6667302759413,,,27.0392688001995,117.698811478754,128.602993963416,72.6251637040321,,,,,20.8232378679491,,40.5883961366256,29.5408843071306,,38.0288957688338,,29.1792912365375,54.80562992585,,,49.6869680346867,42.9524894769889,,,32.5394575436311,58.7978739921016,16.291832889586,9.89107286043072,47.7656117606838,,82.8374805427534,36.6097982795857,,35.7890576263229,88.6994841221229,84.6590647845878,47.1957374440562,51.316492391404,51.6324285606285,25.6425183912228,24.3806591494652,,16.803206848237,48.5639104645928,,,,90.2384470469052,55.4673357624473,69.0268963476743,
2007,47.4005549999879,,,65.6729588044794,54.2493871228909,65.9110994226743,66.1862216921747,58.2814382695973,58.2814382695973,,20.1204762784745,66.7566818651461,,22.9908535609144,66.8267880346431,8.9092608163614,83.4782314885846,85.2321567582929,64.28857447128,,5.74118725017073,,24.1379663568875,39.1387244399934,,,50.5167119605892,85.7885338345865,48.4823724778462,4.22953401229437,,59.4874211892694,19.2040626581459,123.820896001653,21.986997531652,69.1203538039996,84.2624186949972,57.4975363893642,,,26.9930293996537,112.989990199089,132.22571802455,69.9589120189815,,,,,17.6895186651757,,40.0881257702829,29.1842777540108,,34.6934497337497,,23.239565787011,50.9355551094158,,117.515261124236,42.9786611378803,36.9753526219646,,,28.5288183926826,51.5748916279875,17.6136146609596,7.15843011662711,47.4509601321227,,77.2760743035509,34.9914915851838,,31.792195137488,84.9944169483341,97.046322814295,45.2980532065982,43.8571225963995,45.6949689152535,23.5217821762977,22.9934668319175,,15.928004235045,45.7824704950416,,,,91.7108221092839,55.6599261078117,58.5120605304436,
2008,,18.0011198995193,18.5977915451453,72.6845224509748,62.1188623196429,71.9699497755973,72.916878382843,57.0990812792049,57.0990812792049,,18.1967745849444,71.9382577543835,4.57653797474662,25.45550066502,71.1698163869292,10.6566343685377,91.3008843889572,79.7300662256414,61.9120647725711,,7.84730897264042,,17.9816300354792,43.9472794863129,65.2450803056946,,52.2367220439094,,48.4269376195663,5.05835096073766,,65.372569489756,23.4732554299105,127.158326411226,20.383408037295,72.6294634773117,129.738432199614,57.2922142809949,34.2250282105616,,46.6251650850734,120.339824591656,138.578631732787,55.0660525842339,,,,,14.7688796841721,,39.7997028374607,30.3431523048305,69.04559085023,33.6988749498688,26.6089754283853,18.4425161310829,45.4427659043265,,1.10133141237365,43.799987249558,36.0960054063757,23.5870748961464,,26.076322347553,52.4322709324654,18.3359551240324,6.49528743788997,46.8685383304774,176.92433805069,96.4099647516113,34.0377055527808,,35.7977494008792,,92.4817072526061,41.6345301264286,43.5145080542255,45.6455895855319,22.9597565830552,22.4502172623288,,,43.2877054340983,40.8891753601982,13.2299542095983,,103.407032485339,63.8151298190915,57.2526825176099,
2009,,22.3894353019677,23.4251106757342,85.034118441268,73.8279483885603,84.187276245365,85.2534225887139,56.3565258678009,56.3565258678009,,23.8870800369387,83.3316518773762,6.29501240116287,30.908208407968,86.8766738947415,18.5574619808712,95.9430277968126,83.0197605228412,58.1908237667352,,18.9731164738468,,20.1600093706789,52.2515264100439,68.9990033374936,60.2269417189103,63.459424031954,,58.1469205675387,8.22468046659972,,77.9477820433769,30.8567774936061,143.980453070036,23.3939731993278,81.0813476851531,145.745980756566,55.2564461120573,29.997306381567,,66.62175035655,134.678769793404,156.988384817181,59.2214668762727,,,,,30.7436903314364,29.2734146419207,50.8357455983458,46.1935516743923,72.5986034549067,36.5564718463374,25.4416218372326,27.6322264363496,47.5036306769826,,0.277603198530483,,31.9414277406372,24.2540645724147,,26.4008658753596,52.4006931344165,28.2314505483576,8.69786633508402,46.6074007324324,100.445570307955,106.372468302322,42.0443650670806,,48.3646992967727,86.063491912486,100.754475858695,43.3977023635892,53.6982410417126,46.9234851176251,21.5466330630229,26.7791952036446,,,42.9297921509547,48.4710258625545,23.9900342329063,,121.319808364159,75.8420482989664,49.2733292135984,
2010,,20.9938590472673,22.5800922144674,91.0464736608682,82.1890464843402,90.0370922732229,91.205898018943,52.1164676993338,52.1164676993338,,28.6956061213118,85.7862698271937,6.38557579182856,33.6922817103418,95.7261582247376,18.905245726907,93.20645439648,80.6986218917549,56.2118312539319,,21.6306883124047,61.3187804611479,20.5918647823436,52.4574351488494,72.4526699261111,25.4826844740907,72.4095699878699,,57.4942866187624,7.89764510837486,,80.3012997114704,31.8922535469443,136.602224223793,24.8169594138567,81.2474249176074,150.633812484101,51.5919103004572,26.1661592780012,,82.5056567138736,136.224334891016,160.501461236966,59.7710843617397,9.52296325134078,,,,41.2261177413734,28.0301095494911,49.5598230655171,,69.1776130857051,36.7873761596586,24.1548813396191,21.9325612554393,50.9624992353025,,1.60694919254531,33.8625212320188,34.8105506978391,32.7515055689109,,23.6817913396941,50.1962414764938,34.8993868663963,9.09810564475071,54.9724926638478,75.3534158588627,101.449782417951,45.7415854036985,,50.1678007072302,71.585318439823,104.877964445747,45.7221525523083,,43.3019148019871,20.8341068853533,26.9008455437265,,,38.7660002963438,45.145314794996,28.8666366228354,,129.07297194198,84.9644109904045,44.2227017546251,17.3215114809658
2011,,20.0949041365752,22.1011090841298,97.0788815872585,86.4423145958259,95.6858218039883,97.0839201928189,52.273975406639,52.273975406639,69.6376739165201,30.1094295922556,85.6965073785828,,35.306429206242,100.246233588889,39.4168108447656,95.5707643463826,77.9320169241282,64.0467185407083,45.8346942869169,20.7431792529754,59.3416583014604,19.4821669413927,53.1847516125414,62.8601328222053,,78.8462262771582,,54.5625709816415,5.99139330834761,,82.2922420615546,28.3715417191615,116.211593571687,24.5639597782709,90.5257486549294,156.915918249342,51.5565536600977,24.8651446692594,,111.661955270529,133.978459775192,175.570817424664,60.4217719904335,8.80131007226425,,,21.7306088407006,41.0538558275767,27.4257346508333,50.0286816425423,,56.1227311928497,35.5204190571818,25.2019616988798,19.7666739336335,55.6277203238232,,7.45061506273455,,48.1369604506513,25.7492274432472,,20.7202165724133,48.8058481254572,39.1347061380068,8.64108194430582,44.8293754612433,78.8413155501667,104.78518384861,48.7903852276033,14.1125181117295,58.057649948503,71.1081093769161,103.009613282601,,,43.6847237255241,20.9619254746362,28.1319763006874,,,42.4807224505219,40.0769538067827,26.4808201734686,,141.584861177747,89.5468170333317,45.3514512209494,18.0499093578444
2012,,19.4698875294746,21.7773979204394,100.08231845887,90.3431867426695,98.6148005527886,99.9600600262745,51.3498626205799,51.3498626205799,63.6691526405469,39.4662235865486,90.6003878073782,,36.4494930273775,112.773618727542,24.4293134230567,104.028499314949,76.5388579502447,74.2422122045535,49.0902635279898,19.9455500589099,59.8494899958247,21.7954053500896,54.9262398034156,65.227695883164,,83.4505058846426,,54.8523398142256,13.5521744483716,,90.2797486025496,28.7960980339586,168.027201054784,24.7007424112068,94.1160293592457,152.739624546059,50.6780305618952,25.0344008432508,,129.798537045431,137.934669887058,183.708906763918,65.3506139398579,10.4981138465889,32.4090205799357,,20.3179952529254,47.1986083994861,41.4204771686525,51.6464316160996,,52.5027508322882,36.5088808021811,27.1151720388805,20.3471393512104,,,-1.17072566818484,,51.6576930327511,27.2718587480661,,19.2166594587652,49.1574552067049,42.3994409589335,8.55140859340356,51.2177218791033,78.1418056718111,107.828093624626,58.717692778998,11.5356992055448,74.1120102679602,68.710394650639,96.7623911759298,,,43.5102479611743,21.1690339783081,28.4447160238828,,,42.5197543010178,37.9602291228126,32.445911715199,,144.974859921399,93.6492617595668,43.4034504514938,23.4889192806696
2013,,17.9875748363132,20.6586303531987,100.307890388077,91.8043966046449,99.7512502300808,101.22133892701,51.0939279535231,51.0939279535231,70.5807697920008,37.5799731069072,87.6965992426296,,44.3955295944257,120.479934061046,23.8372955552391,101.564361030942,78.654991481851,98.4448853569081,,18.2124293899498,57.228409380258,22.0570507802478,51.8429501080037,67.102911945643,,94.2408451573372,,62.3992767937371,13.798476044145,10.733283781495,90.9685436680429,29.4994246863754,185.743826117643,25.2099495623048,94.6994936518004,140.954580207259,50.3118273627008,27.7819272178664,,131.816175102633,135.885094993632,186.564297348971,73.723812248079,10.8406391538642,34.9298593014974,,,44.8359155161308,36.2569334751656,52.9992519246741,,53.1892832952104,,26.3230241123984,19.9179521555554,,,2.57186406129022,,46.4503228189851,23.2213803358581,,18.3944203835345,47.1441818576352,43.6501520234569,9.06725564048848,54.0230135522152,51.5506298157061,99.4464888561159,63.4454176842811,10.1143628057694,87.5333967088844,70.8211060610562,67.0653297377302,,,45.1695424481992,20.0334012405487,40.0618532889803,49.0380839800652,,,32.1216452754771,35.6313995863809,1.89352252372768,139.555030100577,95.5346882113219,42.7408509975012,24.2239941438767
2014,,20.3457868880791,23.0833757223634,104.176165606554,91.8874880717526,102.339488131408,104.248719536546,50.7122307254169,50.7122307254169,73.3202274771466,41.7426885439519,95.7996292737297,,46.1714820017716,129.629592074798,24.5487262642116,112.309059747048,77.8442916600232,93.110334600343,,18.1096345089377,58.4572711058609,32.5006561770944,50.3307188290924,47.9761695160459,,100.370450265081,,50.8379544344007,13.9548506685828,26.9372797365191,97.5543838512582,30.9760956175299,189.294440988662,24.7926856314898,98.6397586948027,135.796521914069,49.9009248748319,27.4216121994064,,121.30223294265,132.413804620781,192.113216566341,77.7139917549107,12.6469696266918,36.5002640215506,53.8893270176244,,48.3320102989201,40.6328150545127,52.6758487332831,,50.4475137090239,,23.3897348085264,20.8265355308678,,,,,43.9155478633535,21.8773371765938,26.8946120001805,19.56538960172,43.426338941462,46.2121722749412,11.2004612827286,53.3245594404762,66.6245932576679,99.6097986729595,66.1077955269676,8.72030492433418,100.691205278128,71.332798378903,57.5484476965889,,,49.4545085693247,20.3906817436611,36.4966513241117,47.4764850994565,,,31.3464166832739,63.6653191884884,,148.49453298809,95.7666986884038,44.3579613307475,44.3958675879332
2015,,21.945159027237,24.546068203315,104.759709406466,92.8586895078542,102.866837578307,105.086280821457,50.9981930953647,50.9981930953647,79.8644181475793,46.5094716816771,95.0842658810954,,47.524949628643,141.438102934893,37.5981780556757,108.591308652296,,88.5026841632725,,19.01948409599,67.5375540277116,30.841312010284,54.6514794201489,53.2785874737167,,102.5493139012,,51.2784032678648,13.1227400304449,27.9431250379303,97.9803332557022,36.6506556652424,189.158853963922,24.9201770937784,96.369516407187,117.370839587281,49.9647183856551,30.309126137804,27.3918908850844,88.6171842169966,124.64830084408,194.585436599252,78.8614496694168,19.307916061599,37.4929571097141,72.4565575830671,,49.6456914528683,39.5422371324465,53.5744697326154,,47.4561054281413,,29.9431447891386,23.4713859831631,,,4.6675823557404,,42.9398409963186,63.4647652747634,29.8753777382805,22.865554469277,,45.2088527255282,13.5407657768558,56.930229397237,61.6179358387482,103.320839751929,65.0275578428424,6.74187896347841,100.979179625851,77.6503941209344,,,,47.4343206265975,20.2055042636777,37.8688674193145,51.176079919279,,,29.0600638875872,70.2588376218982,,145.613968908833,96.4252279492666,51.1864800206369,49.4073473457883
2016,,22.826654401365,25.3852691103391,106.823242113634,94.6027395894507,104.996517109247,107.178206775843,47.6802448145625,47.6802448145625,80.7355819675527,54.6835940893166,94.6946369620698,,50.4010781944468,146.926713218739,38.9240984107258,110.196200971828,,100.778044131213,52.8681138658429,15.8049533713788,73.4188038096758,35.5283735776137,52.8086681382135,66.9071609125066,,99.9807747828424,,52.0656561693955,14.070777375849,29.0056900690034,102.262044850588,40.2687241879674,194.620197524529,25.0349906680098,96.7578481797653,103.362423152956,47.6337555915272,31.366190714778,29.4760678291372,85.3797753691529,122.655678149439,193.23712453014,74.071860773415,16.7694252748762,38.0655141568922,60.4735108680683,,47.7416942235485,55.1578705122511,51.8905275342534,,48.3898732028888,,25.3917774115375,31.8856693366882,,93.2629179302679,5.28400408169608,,41.4165686711812,67.9578642306403,33.7401900962348,23.7062564342415,,46.565699712893,14.2417395793548,57.3280887283533,,109.135825410666,66.6215877670512,6.26384902011101,102.785304638005,,,,,46.1880562107038,19.1663087436657,38.4894405797481,49.4146054980866,,,30.0735504838055,71.8095454494004,,153.825029578933,98.5041017174837,46.6566297381444,46.4328935811391
