menu_id,lottery,mean,stdev
1,p,18,6.030226892
1,q,17.5,4.351941399
2,p,12,9.847319278
2,q,10.5,5
3,p,12,9.847319278
3,q,10,0
4,p,10.5,5
4,q,10,0
5,p,6,9.211323729
5,q,5.5,7.436600722
6,p,6,9.211323729
6,q,5,5.025189076
7,p,5.5,7.436600722
7,q,5,5.025189076
8,p,3,7.177405626
8,q,2.5,4.351941399
9,p,18,6.030226892
9,q,17,4.605661865
10,p,12,9.847319278
10,q,10,6.356417262
11,p,12,9.847319278
11,q,9,3.015113446
12,p,8,9.847319278
12,q,7,7.849596271
13,p,8,9.847319278
13,q,6,4.923659639
14,p,7,7.849596271
14,q,6,4.923659639
15,p,4,8.040302522
15,q,3,4.605661865
16,p,18,6.030226892
16,q,15,5.025189076
17,p,12,9.847319278
17,q,7.5,4.351941399
18,p,10,6.356417262
18,q,9,3.015113446
19,p,4,8.040302522
19,q,3,7.177405626
20,p,3,4.605661865
20,q,2.5,4.351941399
21,p,14,9.211323729
21,q,15,5.025189076
22,p,8,9.847319278
22,q,9.5,5
23,p,10,6.356417262
23,q,9,3.015113446
24,p,16,8.040302522
24,q,13,6.435381994
25,p,12,9.847319278
25,q,10.5,8.689364218